"item_id","dataset_id","status","file_name","creation_date","update_date","resolved_wos_ut"
CTNG2026020016504742,DATA2026020035075973,A,CTNG2026020.XML,2026-08-20 06:08:59.654,2026-08-20 06:09:00.596,WOS:000412095400006
CTNG2026020016504739,DATA2026020035075971,A,CTNG2026020.XML,2026-08-20 06:08:59.592,2026-08-20 06:09:00.614,WOS:000412095400006
CTNG2026020016466668,DATA2026020034944005,A,CTNG2026020.XML,2026-08-20 06:09:00.056,2026-08-20 06:09:01.509,WOS:001642948700001
CTNG2026020016466655,DATA2026020034943985,A,CTNG2026020.XML,2026-08-20 06:08:59.880,2026-08-20 06:09:01.799,WOS:001667570500001
CTNG2026020016466662,DATA2026020034943996,A,CTNG2026020.XML,2026-08-20 06:08:59.938,2026-08-20 06:09:01.956,WOS:001450949100001
CTNG2026020016466684,DATA2026020034944022,A,CTNG2026020.XML,2026-08-20 06:09:00.360,2026-08-20 06:09:02.063,WOS:001649648800001
CTNG2026020016466663,DATA2026020034943997,A,CTNG2026020.XML,2026-08-20 06:08:59.954,2026-08-20 06:09:02.218,WOS:001666735600001
CTNG2026020016466672,DATA2026020034944009,A,CTNG2026020.XML,2026-08-20 06:09:00.136,2026-08-20 06:09:02.233,WOS:001592871600001
CTNG2026020016466636,DATA2026020034943944,A,CTNG2026020.XML,2026-08-20 06:08:59.717,2026-08-20 06:09:02.308,WOS:001659603300001
CTNG2026020016466653,DATA2026020034943982,A,CTNG2026020.XML,2026-08-20 06:08:59.843,2026-08-20 06:09:02.524,WOS:001450949100001
CTNG2026020016504740,DATA2026020035075972,A,CTNG2026020.XML,2026-08-20 06:08:59.637,2026-08-20 06:09:00.614,WOS:000412095400006
CTNG2026020016466671,DATA2026020034944008,A,CTNG2026020.XML,2026-08-20 06:09:00.122,2026-08-20 06:09:02.092,WOS:001640383200001
CTNG2026020016466640,DATA2026020034943951,A,CTNG2026020.XML,2026-08-20 06:08:59.740,2026-08-20 06:09:02.526,WOS:001641653600001
CTNG2026020016466688,DATA2026020034944026,A,CTNG2026020.XML,2026-08-20 06:09:00.429,2026-08-20 06:09:02.899,WOS:001654737200001
CTNG2026020016466690,DATA2026020034944028,A,CTNG2026020.XML,2026-08-20 06:09:00.460,2026-08-20 06:09:02.968,WOS:001656472500001
CTNG2026020016466667,DATA2026020034944004,A,CTNG2026020.XML,2026-08-20 06:09:00.036,2026-08-20 06:09:03.515,WOS:001656486200008
CTNG2026020016466714,DATA2026020034944056,A,CTNG2026020.XML,2026-08-20 06:09:00.824,2026-08-20 06:09:03.600,WOS:001656848600001
CTNG2026020016466702,DATA2026020034944040,A,CTNG2026020.XML,2026-08-20 06:09:00.677,2026-08-20 06:09:04.388,WOS:001642511600001
CTNG2026020016466741,DATA2026020034944118,A,CTNG2026020.XML,2026-08-20 06:09:00.915,2026-08-20 06:09:05.130,WOS:001676972400001
